province,curah,kemasan sederhana,kemasan premium
Aceh,21,15,11
Sumatera Utara,18,14,12
Sumatera Barat,18,13,12
Riau,17,13,12
Jambi,19,13,13
Sumatera Selatan,18,13,12
Bengkulu,21,12,12
Lampung,15,13,12
Kepulauan Riau,21,13,12
DKI Jakarta,16,16,13
Jawa Barat,15,13,12
Jawa Tengah,17,14,12
Yogyakarta,13,13,12
Jawa Timur,18,12,12
Banten,17,13,12
Bali,17,13,12
Nusa Tenggara Barat,17,NA,12
Nusa Tenggara Timur,17,12,11
Kalimantan Barat,15,11,10
Kalimantan Tengah,20,14,12
Kalimantan Selatan,19,12,12
Kalimantan Timur,18,15,11
Sulawesi Utara,13,12,11
Sulawesi Tengah,13,13,12
Sulawesi Selatan,16,11,10
Gorontalo,NA,11,11
Sulawesi Barat,21,NA,11
Maluku Utara,13,NA,10
Papua Barat,10,11,11
Bangka Belitung,NA,13,11
Kalimantan Utara,NA,11,11
Maluku,NA,12,11
Papua,NA,11,10
Sulawesi Tenggara,NA,NA,8
