region,province,island_group,year,consumption_hh,expenditure_hh
Simeulue,Aceh,Sumatera,2021,0.5922,7765.128
Aceh Singkil,Aceh,Sumatera,2021,1.2054,13809.348
Aceh Selatan,Aceh,Sumatera,2021,1.1885999999999999,13085.310000000001
Aceh Tenggara,Aceh,Sumatera,2021,0.9702000000000001,14479.332
Aceh Timur,Aceh,Sumatera,2021,0.9660000000000001,12392.310000000001
Aceh Tengah,Aceh,Sumatera,2021,1.1424,14510.496000000001
Aceh Barat,Aceh,Sumatera,2021,1.0164,12874.008
Aceh Besar,Aceh,Sumatera,2021,0.7518,10721.508
Aceh Utara,Aceh,Sumatera,2021,0.8400000000000001,8214.234
Bireuen,Aceh,Sumatera,2021,0.798,10380.762
Aceh Barat Daya,Aceh,Sumatera,2021,0.9660000000000001,10829.910000000002
Pidie,Aceh,Sumatera,2021,0.9576000000000001,11531.982
Gayo Lues,Aceh,Sumatera,2021,1.092,15634.458
Aceh Tamiang,Aceh,Sumatera,2021,1.1214000000000002,11979.534
Nagan Raya,Aceh,Sumatera,2021,1.1088,13750.800000000001
Aceh Jaya,Aceh,Sumatera,2021,0.9912,12380.34
Bener Meriah,Aceh,Sumatera,2021,0.9492,12422.928000000002
Pidie Jaya,Aceh,Sumatera,2021,1.0122,13255.830000000002
Kota Banda Aceh,Aceh,Sumatera,2021,0.9114,13188.966
Kota Sabang,Aceh,Sumatera,2021,0.8904,12620.789999999999
Kota Langsa,Aceh,Sumatera,2021,1.0584,12699.204
Kota Lhokseumawe,Aceh,Sumatera,2021,0.9072,12054.42
Kota Subulussalam,Aceh,Sumatera,2021,1.1718000000000002,13088.922
Nias,Sumatera Utara,Sumatera,2021,0.731,9847.516
Mandailing Natal,Sumatera Utara,Sumatera,2021,0.9201999999999999,12069.713
Tapanuli Selatan,Sumatera Utara,Sumatera,2021,0.9718,12615.684
Tapanuli Tengah,Sumatera Utara,Sumatera,2021,0.9933,12018.671999999999
Tapanuli Utara,Sumatera Utara,Sumatera,2021,1.1696,14731.284
Toba Samosir,Sumatera Utara,Sumatera,2021,1.0534999999999999,13926.581999999999
Labuhan Batu,Sumatera Utara,Sumatera,2021,0.9417,12723.657
Asahan,Sumatera Utara,Sumatera,2021,1.1653,14862.820999999998
Simalungun,Sumatera Utara,Sumatera,2021,1.2469999999999999,15599.884
Dairi,Sumatera Utara,Sumatera,2021,0.9158999999999999,11914.181999999999
Karo,Sumatera Utara,Sumatera,2021,1.2469999999999999,17398.746
Deli Serdang,Sumatera Utara,Sumatera,2021,1.2771,14976.9
Langkat,Sumatera Utara,Sumatera,2021,1.1825,14148.505
Nias Selatan,Sumatera Utara,Sumatera,2021,0.7783,11131.023
Humbang Hasundutan,Sumatera Utara,Sumatera,2021,1.0793,13782.317
Pakpak Bharat,Sumatera Utara,Sumatera,2021,1.1524,14690.993
Samosir,Sumatera Utara,Sumatera,2021,1.1438,14587.234
Serdang Bedagai,Sumatera Utara,Sumatera,2021,1.3157999999999999,16708.252
Batu Bara,Sumatera Utara,Sumatera,2021,1.1481000000000001,15211.594
Padang Lawas Utara,Sumatera Utara,Sumatera,2021,1.0233999999999999,13146.905999999999
Padang Lawas,Sumatera Utara,Sumatera,2021,0.9546,13085.072
Labuhan Batu Selatan,Sumatera Utara,Sumatera,2021,1.1782000000000001,15110.070999999998
Labuhan Batu Utara,Sumatera Utara,Sumatera,2021,1.1179999999999999,14003.595
Nias Utara,Sumatera Utara,Sumatera,2021,0.5762,7969.577
Nias Barat,Sumatera Utara,Sumatera,2021,0.6837,9462.623
