month,expenditure_group,2021,2022
1,"Makanan, minuman & tembakau",2.8142411936915703,3.453660328832544
2,"Makanan, minuman & tembakau",1.9176800748362928,2.5057365764112016
3,"Makanan, minuman & tembakau",2.2240912064293012,3.5926501508364503
4,"Makanan, minuman & tembakau",2.334049108393241,NA
5,"Makanan, minuman & tembakau",3.053292123255601,NA
6,"Makanan, minuman & tembakau",1.8458096392281198,NA
7,"Makanan, minuman & tembakau",2.74204150624472,NA
8,"Makanan, minuman & tembakau",3.305863408165207,NA
9,"Makanan, minuman & tembakau",3.204031184635853,NA
10,"Makanan, minuman & tembakau",3.0050241729073863,NA
11,"Makanan, minuman & tembakau",2.979323308270665,NA
12,"Makanan, minuman & tembakau",3.0928789702750286,NA
