month,expenditure_group,2021,2022
1,Rokok & tembakau,5.27272727272727,5.604490500863566
2,Rokok & tembakau,4.613443863759227,6.063738156761418
3,Rokok & tembakau,4.133858267716526,6.3584808386320715
4,Rokok & tembakau,3.9871840512637986,NA
5,Rokok & tembakau,3.828090385467441,NA
6,Rokok & tembakau,3.979835500132661,NA
7,Rokok & tembakau,3.6119166886369625,NA
8,Rokok & tembakau,3.407303861611048,NA
9,Rokok & tembakau,4.045688377365072,NA
10,Rokok & tembakau,4.406897753004705,NA
11,Rokok & tembakau,4.563233376792699,NA
12,Rokok & tembakau,4.577770071094157,NA
