province,poor_household_bpnt_recipient_share
Aceh,38.87
Sumatera Utara,25.28
Sumatera Barat,26.42
Riau,17.42
Jambi,21.52
Sumatera Selatan,27.81
Bengkulu,35.6
Lampung,38.78
Bangka Belitung,28.04
Kepulauan Riau,11.13
DKI Jakarta,14.71
Jawa Barat,30.05
Jawa Tengah,42.88
DI Yogyakarta,56.5
Jawa Timur,38.15
Banten,20.89
Bali,29.5
Nusa Tenggara Barat,39.45
Nusa Tenggara Timur,42.99
Kalimantan Barat,26.22
Kalimantan Tengah,12.25
Kalimantan Selatan,23.62
Kalimantan Timur,21.3
Kalimantan Utara,37.94
Sulawesi Utara,29.71
Sulawesi Tengah,30.51
Sulawesi Selatan,41.16
Sulawesi Tenggara,39.79
Gorontalo,45.5
Sulawesi Barat,45.45
Maluku,31.77
Maluku Utara,18.58
Papua Barat,18.32
Papua,3.57
