month,expenditure_group,2021,2022
1,Minuman nonalkohol,1.1182108626198062,1.9050274138091228
2,Minuman nonalkohol,1.468097120271022,1.7065479502875194
3,Minuman nonalkohol,1.3059000375798577,1.9104145414077738
4,Minuman nonalkohol,1.2652296157450744,NA
5,Minuman nonalkohol,1.2267066204700703,NA
6,Minuman nonalkohol,1.3839536188516963,NA
7,Minuman nonalkohol,1.4110830763479962,NA
8,Minuman nonalkohol,1.53142216826968,NA
9,Minuman nonalkohol,1.5683345780433091,NA
10,Minuman nonalkohol,1.5933656354826762,NA
11,Minuman nonalkohol,1.582720417093383,NA
12,Minuman nonalkohol,1.6640327228781318,NA
