playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,5MMW4CZsZiZt2iuqAXzzWC,The Heart Part 5,0.769,0.815,8,-6.918,0,0.325,0.157,0,0.0657,0.774,97.911,332362,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,0wHFktze2PHC5jDt3B17DC,First Class,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-6,0.111,0.332,107.005,173948,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,68McnNC9twEtiynOAJRRgZ,Uncle Waffles,5z6oqX6l6kTSPB9gSRnLzE,Tanzania,0.804,0.654,3,-10.125,0,0.0537,0.0552,0.00487,0.109,0.617,112.988,376079,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6qF0eiWwQF073J1MuVFs5z,Tony Duardo,5z6oqX6l6kTSPB9gSRnLzE,Tanzania,0.804,0.654,3,-10.125,0,0.0537,0.0552,0.00487,0.109,0.617,112.988,376079,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5zvuXUYTvZczhbPG9HZRYI,Sino Msolo,5z6oqX6l6kTSPB9gSRnLzE,Tanzania,0.804,0.654,3,-10.125,0,0.0537,0.0552,0.00487,0.109,0.617,112.988,376079,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1eEtFWkyKW60yUyVwvAeuR,BoiBizza,5z6oqX6l6kTSPB9gSRnLzE,Tanzania,0.804,0.654,3,-10.125,0,0.0537,0.0552,0.00487,0.109,0.617,112.988,376079,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6KImCVD70vtIoJWnq6nGn3,Harry Styles,4LRPiXqCikLlN15c3yImP7,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1RyvyyTE3xzB2ZywiAwp0i,Future,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3TVXtAsR1Inumwj472S9r4,Drake,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,687cZJR45JO7jhk1LHIbgq,Tems,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,4
