playlist_top_song,track_id,valence,danceability
Global,4LRPiXqCikLlN15c3yImP7,0.662,0.52
Global,6Xom58OOXk2SoU711L2IXO,0.292,0.804
Global,6Sq7ltF9Qa7SNFBsV5Cogx,0.425,0.911
Global,3k3NWokhRRkEPhCzPmV8TW,0.268,0.647
Global,1IHWl5LamUGEuP4ozKQSXZ,0.187,0.65
Global,4tYFy8ALRjIZvnvSLw5lxN,0.471,0.829
Global,1dm6z1fWB0cErMszU25dy2,0.607,0.564
Global,0wHFktze2PHC5jDt3B17DC,0.332,0.902
Global,41oY4WCTj5kccfesTVFnvN,0.419,0.795
Global,5CzixCxDkRXX9mScCmah8O,0.222,0.787
Global,5kVZxyMY1gfdCLiChsfjn1,0.93,0.872
Global,7dSZ6zGTQx66c2GF91xCrb,0.53,0.87
Global,02MWAaffLxlfxAUY7c5dvx,0.531,0.761
Global,28GCbKgjlVD9eDmasGbe0T,0.434,0.714
Global,31i56LZnwE6uSu3exoHjtB,0.428,0.876
Global,1PckUlxKqWQs3RlWXVBLw3,0.722,0.836
Global,1797zYiX4cKosMH836X9Gt,0.579,0.663
Global,5Eax0qFko2dh7Rl2lYs3bx,0.234,0.801
Global,4d4ZXH4dr5bYfgErHiZCX2,0.495,0.817
Global,18HOjcvTVV7W8YzBuOsAPS,0.412,0.503
Global,44XjoNvtwevktFKjvVe1vH,0.451,0.797
Global,2uflssWlCaJ6CbTMOsUpNI,0.668,0.861
Global,5PjdY0CKGZdEuoNab3yDmX,0.478,0.591
Global,0E0DRHf5PfMeor0ZCwB3oT,0.546,0.777
Global,6VrQTLzzuyGIYjUDe4kAZk,0.744,0.839
Global,2DB4DdfCFMw1iaR6JaR03a,0.956,0.756
Global,2NMjggapJcXXM7WccGEBUO,0.77,0.81
Global,0UvZcEfpzVyx47QsRbjyBz,0.599,0.629
Global,6JIC3hbC28JZKZ8AlAqX8h,0.934,0.795
Global,0wihfILRNOwE2156Shezc8,0.724,0.849
Global,58HvfVOeJY7lUuCqF0m3ly,0.0899,0.41
Global,1HhNoOuqm1a5MXYEgAFl8o,0.555,0.728
Global,71wFwRo8xGc4lrcyKwsvba,0.246,0.608
Global,5Z9KJZvQzH6PFmb8SNkxuk,0.892,0.741
Global,1ri9ZUkBJVFUdgwzCnfcYs,0.899,0.843
Global,1O2pcBJGej0pmH2Y9XZMs6,0.832,0.87
Global,0LnS7aOdOdI1dNKZqdOLz4,0.405,0.833
Global,59nOXPmaKlBfGMDeOVGrIK,0.339,0.463
Global,6I3mqTwhRpn34SLVafSH7G,0.441,0.601
Global,3FkeNbs9Zeiqkr3WkbOiGp,0.396,0.812
Global,50nfwKoDiSYg8zOCREWAm5,0.822,0.788
Global,6mmPpaltUZK7xjNlBPQQ0p,0.511,0.869
Global,6Uj1ctrBOjOas8xZXGqKk4,0.881,0.824
Global,5MMW4CZsZiZt2iuqAXzzWC,0.774,0.769
Global,4fouWK6XVHhzl78KzQ1UjL,0.415,0.695
Global,3uUuGVFu1V7jTQL60S1r8z,0.262,0.671
Global,4ZtFanR9U6ndgddUvNcjcG,0.688,0.563
Global,48AJSd42lXpicsGqcgopof,0.573,0.812
Global,46IZ0fSY2mpAiktS3KOqds,0.13,0.604
Global,4d1CG5ei1E2vGbvmgf5KKv,0.0524,0.47
Indonesia,2hHeGD57S0BcopfVcmehdl,0.755,0.643
Indonesia,2m6Ko3CY1qXNNja8AlugNc,0.338,0.559
Indonesia,4LRPiXqCikLlN15c3yImP7,0.662,0.52
Indonesia,5cASSQjKWI5ox8LykUtJGL,0.126,0.481
