playlist_top_song,bins,danceability_count
Global,"(0.337,0.412]",1
Global,"(0.412,0.487]",2
Global,"(0.487,0.562]",2
Global,"(0.562,0.637]",7
Global,"(0.637,0.712]",5
Global,"(0.712,0.787]",8
Global,"(0.787,0.862]",18
Global,"(0.862,0.937]",7
Indonesia,"[0.262,0.337]",2
Indonesia,"(0.337,0.412]",3
Indonesia,"(0.412,0.487]",8
Indonesia,"(0.487,0.562]",11
Indonesia,"(0.562,0.637]",15
Indonesia,"(0.637,0.712]",6
Indonesia,"(0.712,0.787]",2
Indonesia,"(0.862,0.937]",3
Malaysia,"[0.262,0.337]",2
Malaysia,"(0.337,0.412]",5
Malaysia,"(0.412,0.487]",4
Malaysia,"(0.487,0.562]",8
Malaysia,"(0.562,0.637]",11
Malaysia,"(0.637,0.712]",7
Malaysia,"(0.712,0.787]",8
Malaysia,"(0.787,0.862]",1
Malaysia,"(0.862,0.937]",4
