candidate,twitter_handle
Ganjar Pranowo,ganjarpranowo
Prabowo Subianto,prabowo
Anies Baswedan,aniesbaswedan
Ridwan Kamil,ridwankamil
Agus Yudhoyono,AgusYudhoyono
Sandiaga Uno,sandiuno
Erick Thohir,erickthohir
Khofifah Parawansa,KhofifahIP
Tri Rismaharini,Tri_Rismaharini
Puan Maharani,puanmaharani_ri
Mahfud MD,mohmahfudmd
Airlangga Hartarto,airlangga_hrt
Muhaimin Iskandar,cakimiNOW
Sri Mulyani,NA
Gatot Nurmantyo,Nurmantyo_Gatot
Bambang Soesatyo,bambangsoesatyo
Ahmad Syaikhu,syaikhu_ahmad
Suharso Monoarfa,Suharso_M
Zulkifli Hasan,ZUL_Hasan
