id,id_str,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,profile_image_url_https,profile_banner_url,default_profile,default_profile_image,withheld_in_countries,derived,withheld_scope,entities
109762193,109762193,Ganjar Pranowo,ganjarpranowo,Jateng Hebat,"Tuanku ya Rakyat, Gubernur cuma mandat ... ganjarpranowo@yahoo.com//ganjar_gub@jatengprov.go.id// IG: ganjar_pranowo",https://t.co/vzE06XFzYb,FALSE,2669112,3650,792,2010-01-30T04:56:21Z,1,TRUE,145351,https://pbs.twimg.com/profile_images/1273216959153229824/9WejN99A_normal.jpg,https://pbs.twimg.com/profile_banners/109762193/1564334924,TRUE,FALSE,,NA,NA,
40580714,40580714,Prabowo Subianto,prabowo,Indonesia,Menteri Pertahanan Republik Indonesia.,https://t.co/um5vJ2OdP1,FALSE,4559285,1952,1740,2009-05-17T01:17:32Z,8,TRUE,8977,https://pbs.twimg.com/profile_images/1189391667897327616/nDr3ZzWt_normal.jpg,https://pbs.twimg.com/profile_banners/40580714/1572408047,FALSE,FALSE,,NA,NA,
110312278,110312278,Anies Rasyid Baswedan,aniesbaswedan,Indonesia,"Akun resmi Anies Baswedan, dikelola oleh tim, kicauan pribadi ditandai - ABW. . Governor of @DKIJakarta.",https://t.co/S1WTroOaBO,FALSE,4584589,385,1444,2010-02-01T03:23:45Z,19104,TRUE,14171,https://pbs.twimg.com/profile_images/1542897889931698182/cauby85G_normal.jpg,https://pbs.twimg.com/profile_banners/110312278/1541733585,TRUE,FALSE,,NA,NA,
80323736,80323736,Ridwan Kamil,ridwankamil,Jabar Juara Indonesia,Governor of West Java. Broadcaster of Daily Happiness,NA,FALSE,4997213,2843,1548,2009-10-06T15:07:31Z,22036,TRUE,43930,https://pbs.twimg.com/profile_images/1536523752447840256/ePU5yzwy_normal.jpg,https://pbs.twimg.com/profile_banners/80323736/1653973530,FALSE,FALSE,,NA,NA,
842986784,842986784,Agus Harimurti Yudhoyono (AHY),AgusYudhoyono,,Ketua Umum Partai Demokrat,https://t.co/GjrwyPQdau,FALSE,554508,129,263,2012-09-24T05:12:39Z,1347,TRUE,2267,https://pbs.twimg.com/profile_images/1250755212341424128/9rR7B1jo_normal.jpg,https://pbs.twimg.com/profile_banners/842986784/1651840548,FALSE,FALSE,,NA,NA,
132041617,132041617,Sandiaga Salahuddin Uno,sandiuno,,"#Kerja4As: Kerja Keras, Kerja Cerdas, Kerja Tuntas, dan Kerja Ikhlas.",NA,FALSE,3378907,389,1049,2010-04-12T03:32:01Z,733,TRUE,39224,https://pbs.twimg.com/profile_images/1428243213135978507/X8qpBMgf_normal.jpg,https://pbs.twimg.com/profile_banners/132041617/1495428369,FALSE,FALSE,,NA,NA,
43088704,43088704,Erick Thohir,erickthohir,Indonesia,Menteri BUMN I Anggota Central Board Federasi Bola Basket Internasional (FIBA) I Anggota Komite Olimpiade Internasional (IOC) I #MerdekaBerdaulat 🇲🇨,https://t.co/fFtq195Wmo,FALSE,389517,74,262,2009-05-28T11:04:50Z,70,TRUE,4084,https://pbs.twimg.com/profile_images/1440187260381511680/VHDs5S7L_normal.jpg,https://pbs.twimg.com/profile_banners/43088704/1653958787,TRUE,FALSE,,NA,NA,
253418739,253418739,Khofifah Indar Parawansa,KhofifahIP,Jakarta Indonesia,"Setiap yang hidup harus siap berjuang. Setiap perjuangan itu butuh pengorbanan, dan setiap pengorbanan besar pahalanya.",NA,FALSE,558943,26,234,2011-02-17T05:58:42Z,135,TRUE,2950,https://pbs.twimg.com/profile_images/1220577966624661505/66WhS5DB_normal.jpg,https://pbs.twimg.com/profile_banners/253418739/1567658562,FALSE,FALSE,,NA,NA,
1479362257,1479362257,Tri Rismaharini,Tri_Rismaharini,"Kota Surabaya, East Java","Official Account Tri Rismaharini

//Contact: trirismaharini1@gmail.com",https://t.co/1IZPzEMoHX,FALSE,29104,73,52,2013-06-03T10:03:25Z,8,FALSE,571,https://pbs.twimg.com/profile_images/836784846248685568/_aUL9Apw_normal.jpg,https://pbs.twimg.com/profile_banners/1479362257/1491132663,FALSE,FALSE,,NA,NA,
1410866743271051300,1410866743271051267,Puan Maharani,puanmaharani_ri,,"Ketua DPR RI Periode 2019 - 2024
Ojo Pedhot Oyot (Jangan Putus Akar)",NA,FALSE,11744,12,10,2021-07-02T07:44:13Z,14,TRUE,2072,https://pbs.twimg.com/profile_images/1414460386015735812/oJ95KSRl_normal.jpg,https://pbs.twimg.com/profile_banners/1410866743271051267/1630041809,TRUE,FALSE,,NA,NA,
282006208,282006208,Mahfud MD,mohmahfudmd,Jakarta,"Menteri Koordinator Bidang Politik, Hukum, dan Keamanan RI
Kabinet Indonesia Maju 2019-2024",NA,FALSE,3967932,644,1272,2011-04-14T11:37:48Z,107,TRUE,25771,https://pbs.twimg.com/profile_images/1209268107190996992/aycrl4be_normal.jpg,https://pbs.twimg.com/profile_banners/282006208/1577112783,FALSE,FALSE,,NA,NA,
2734971967,2734971967,Airlangga Hartarto,airlangga_hrt,,Menteri Koordinator Bidang Perekonomian RI periode 2019-2024                                                               Ketua Umum DPP Partai Golkar,https://t.co/HdAv3V5SaI,FALSE,57991,240,74,2014-08-15T16:58:00Z,143,TRUE,9359,https://pbs.twimg.com/profile_images/1443076138000023554/VnzyY5zp_normal.jpg,https://pbs.twimg.com/profile_banners/2734971967/1632893141,TRUE,FALSE,,NA,NA,
1490116879,1490116879,AMI💕 A Muhaimin Iskandar,cakimiNOW,Indonesia,PANCASILA JAYA ❤️ NKRI HARGA MATI ❤️ Wakil Ketua DPR RI | Ketua Umum PKB : Partai Kebangkitan Bangsa (@DPP_PKB),https://t.co/fAB2nk8l09,FALSE,218696,880,88,2013-06-07T10:45:49Z,13384,TRUE,21889,https://pbs.twimg.com/profile_images/1540111370116825088/Py5BLyd8_normal.jpg,https://pbs.twimg.com/profile_banners/1490116879/1656407225,TRUE,FALSE,,NA,NA,
954927536718282800,954927536718282752,Gatot Nurmantyo,Nurmantyo_Gatot,Indonesia,Ketua Umum PB Forki: 2014-2018 | Panglima TNI: 2015-2017 | #SatukanhatiuntukIndonesia | Instagram: @Nurmantyo_Gatot,https://t.co/DDh6sc61yE,FALSE,296751,57,59,2018-01-21T04:04:01Z,176,TRUE,468,https://pbs.twimg.com/profile_images/988594970868178946/0GTuTAfo_normal.jpg,https://pbs.twimg.com/profile_banners/954927536718282752/1517533285,TRUE,FALSE,,NA,NA,
108667754,108667754,bambang soesatyo,bambangsoesatyo,"ÜT: -6.203221,106.823589","Kesabaran adalah bumi. Kesadaran adalah matahari. Keberanian menjadi cakrawala, Dan perjuangan adalah pelaksanaan kata-kata.",NA,FALSE,31670,55,179,2010-01-26T17:43:21Z,0,FALSE,1259,https://pbs.twimg.com/profile_images/660150997/bs_normal.jpg,NA,TRUE,FALSE,,NA,NA,
