candidate,date_survey_start,date_survey_end,question,share_of_respondents,twitter_handle,dttm_join_twitter,follower,tweet_total,account_age,tweet_after_poll,tweet_prepoll,tweet_per_day_prepoll,date_cutoff_start,date_cutoff_end,tweet_latest_prepoll,rt_latest_prepoll,fav_latest_prepoll,reaction_latest_prepoll,reaction_per_tweet_latest_pp,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
Ganjar Pranowo,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",26.7,ganjarpranowo,2010-01-30T04:56:21Z,2669112,145351,4457,581,144770,32.48148979133946,2022-03-13T23:21:33Z,2022-04-13T09:51:33Z,198,12243,97464,109707,554.0757575757576,24.151690285836395,2.5483097141636044,0.8801118120362396,1.7256784262178235,18.298304407091056,2.7345465746451003
Prabowo Subianto,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",23.9,prabowo,2009-05-17T01:17:32Z,4559285,8977,4715,NA,NA,1.9039236479321315,2021-03-26T03:48:04Z,2021-04-25T14:18:04Z,4,1724,12562,14286,3571.5,24.33271558390446,-0.43271558390446074,0.6529658730029624,2.8023404464402586,0.04671674304138366,-0.2729215045172964
Anies Baswedan,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",19.4,aniesbaswedan,2010-02-01T03:23:45Z,4584589,14171,4455,180,13991,3.1405162738496073,2022-03-13T18:32:02Z,2022-04-13T05:02:02Z,25,7936,56125,64061,2562.44,17.95478563361625,1.4452143663837482,0.32214782006929743,2.7608054612195314,0.06738622289724218,0.6522079443782036
Ridwan Kamil,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",3.5,ridwankamil,2009-10-06T15:07:31Z,4997213,43930,4573,291,43639,9.54275092936803,2022-03-14T00:50:53Z,2022-04-13T11:20:53Z,149,4279,23138,27417,184.00671140939596,5.372515934218099,-1.8725159342180993,0.09244628509785255,2.7478967644157843,0.018109947928113965,-0.7303157480446784
Agus Yudhoyono,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",3.2,AgusYudhoyono,2012-09-24T05:12:39Z,554508,2267,3489,324,1943,0.5568930925766695,2022-03-10T21:37:50Z,2022-04-10T08:07:50Z,44,4352,17877,22229,505.20454545454544,1.3640726000110188,1.8359273999889814,0.099135065528707,2.74991297726199,0.018946993704214567,0.7186988916205017
Sandiaga Uno,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",2.4,sandiuno,2010-04-12T03:32:01Z,3378907,39224,4385,2467,36757,8.382440136830102,2022-03-14T11:04:47Z,2022-04-13T21:34:47Z,651,2658,28012,30670,47.11213517665131,3.5738801547375045,-1.1738801547375046,0.09310136905959476,2.786400822377159,0.007178066331289735,-0.45800023459563693
Erick Thohir,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",2.4,erickthohir,2009-05-28T11:04:50Z,389517,4084,4704,286,3798,0.8073979591836735,2022-03-14T02:24:52Z,2022-04-13T12:54:52Z,102,5159,33811,38970,382.05882352941177,0.655702437474126,1.7442975625258739,0.0997294638635216,2.7558889239293562,0.017228200984128427,0.6830545182477453
Khofifah Parawansa,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",1.9,KhofifahIP,2011-02-17T05:58:42Z,558943,2950,4074,NA,NA,0.7241040746195385,2021-07-31T14:13:03Z,2021-08-31T00:43:03Z,17,136,1290,1426,83.88235294117646,-1.5443219878204728,3.444321987820473,0.11769010601600502,2.584534295555858,0.0825327877788825,1.36243089228438
Puan Maharani,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",1.1,puanmaharani_ri,2021-07-02T07:44:13Z,11744,2072,286,532,1540,5.384615384615385,2022-03-12T23:18:08Z,2022-04-12T09:48:08Z,263,2502,10152,12654,48.11406844106464,1.4742027685629038,-0.3742027685629037,0.0878293604467609,2.8085951324646308,6.801785087169419e-4,-0.14557616176017696
Mahfud MD,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.7,mohmahfudmd,2011-04-14T11:37:48Z,3967932,25771,4018,102,25669,6.388501742160279,2022-03-13T20:42:50Z,2022-04-13T07:12:50Z,19,1558,9905,11463,603.3157894736842,6.167160037409534,-5.467160037409534,0.06710342737124038,2.233707936098681,0.1060529254205692,-2.103131127200114
Airlangga Hartarto,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.5,airlangga_hrt,2014-08-15T16:58:00Z,57991,9359,2799,662,8697,3.107181136120043,2022-03-14T03:07:16Z,2022-04-13T13:37:16Z,208,1235,2740,3975,19.110576923076923,-0.3346808482153234,0.8346808482153234,0.09992576914247824,2.7985344333721445,0.003954422899247281,0.3268907244910815
Muhaimin Iskandar,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0.5,cakimiNOW,2013-06-07T10:45:49Z,218696,21889,3233,692,21197,6.556449118465821,2022-03-13T09:30:47Z,2022-04-12T20:00:47Z,53,8330,13784,22114,417.24528301886795,4.948846408892436,-4.448846408892436,0.06951644268455899,2.4430396620152965,0.0731284435797029,-1.713619414801473
Ahmad Syaikhu,2022-04-14,2022-04-19,"If the election was held today, who would you vote for president among these 19 names?",0,syaikhu_ahmad,2011-01-11T01:15:58Z,51526,11058,4111,36,11022,2.681099489175383,2022-03-07T11:47:30Z,2022-04-06T22:17:30Z,5,34,185,219,43.8,-0.45681336285010543,0.45681336285010543,0.10109029752802272,2.807322196429035,0.0012013686893164832,0.17902021669534016
