candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Agus Yudhoyono,AgusYudhoyono,2022-03-09,1,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-10,1,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-11,53,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-13,1,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-14,1,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-15,2,NA
Agus Yudhoyono,AgusYudhoyono,2022-03-17,1,8.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-03-18,6,9.285714285714286
Agus Yudhoyono,AgusYudhoyono,2022-03-19,1,9.285714285714286
Agus Yudhoyono,AgusYudhoyono,2022-03-21,2,2
Agus Yudhoyono,AgusYudhoyono,2022-03-22,4,2.4285714285714284
Agus Yudhoyono,AgusYudhoyono,2022-03-23,2,2.5714285714285716
Agus Yudhoyono,AgusYudhoyono,2022-03-24,2,2.5714285714285716
Agus Yudhoyono,AgusYudhoyono,2022-03-25,18,5
Agus Yudhoyono,AgusYudhoyono,2022-03-26,1,4.285714285714286
Agus Yudhoyono,AgusYudhoyono,2022-03-27,2,4.428571428571429
Agus Yudhoyono,AgusYudhoyono,2022-03-28,5,4.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-03-29,3,4.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-04-01,25,8
Agus Yudhoyono,AgusYudhoyono,2022-04-03,1,7.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-04-05,2,5.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-04-06,4,6
Agus Yudhoyono,AgusYudhoyono,2022-04-07,2,6
Agus Yudhoyono,AgusYudhoyono,2022-04-08,2,5.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-04-09,2,5.428571428571429
Agus Yudhoyono,AgusYudhoyono,2022-04-10,5,2.5714285714285716
Agus Yudhoyono,AgusYudhoyono,2022-04-18,7,3.4285714285714284
Agus Yudhoyono,AgusYudhoyono,2022-04-19,2,3.4285714285714284
Agus Yudhoyono,AgusYudhoyono,2022-04-20,1,3
Agus Yudhoyono,AgusYudhoyono,2022-04-21,2,3
Agus Yudhoyono,AgusYudhoyono,2022-04-22,2,3
Agus Yudhoyono,AgusYudhoyono,2022-04-26,5,3.4285714285714284
Agus Yudhoyono,AgusYudhoyono,2022-04-29,1,2.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-05-01,1,2
Agus Yudhoyono,AgusYudhoyono,2022-05-04,2,2
Agus Yudhoyono,AgusYudhoyono,2022-05-05,7,2.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-05-06,22,5.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-07,19,8.142857142857142
Agus Yudhoyono,AgusYudhoyono,2022-05-08,5,8.142857142857142
Agus Yudhoyono,AgusYudhoyono,2022-05-09,6,8.857142857142858
Agus Yudhoyono,AgusYudhoyono,2022-05-11,7,9.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-12,2,9.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-13,4,9.285714285714286
Agus Yudhoyono,AgusYudhoyono,2022-05-16,4,6.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-18,4,4.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-05-19,2,4.142857142857143
Agus Yudhoyono,AgusYudhoyono,2022-05-20,6,4.142857142857143
Agus Yudhoyono,AgusYudhoyono,2022-05-22,6,4
Agus Yudhoyono,AgusYudhoyono,2022-05-23,8,4.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-05-25,3,4.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-26,4,4.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-27,24,7.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-05-28,7,8.285714285714286
Agus Yudhoyono,AgusYudhoyono,2022-05-29,1,7.571428571428571
Agus Yudhoyono,AgusYudhoyono,2022-05-30,7,7.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-05-31,4,7.142857142857143
Agus Yudhoyono,AgusYudhoyono,2022-06-01,1,6.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-06-02,3,6.714285714285714
Agus Yudhoyono,AgusYudhoyono,2022-06-06,3,3.7142857142857144
Agus Yudhoyono,AgusYudhoyono,2022-06-07,2,3
Agus Yudhoyono,AgusYudhoyono,2022-06-08,5,3.5714285714285716
Agus Yudhoyono,AgusYudhoyono,2022-06-09,2,2.857142857142857
Agus Yudhoyono,AgusYudhoyono,2022-06-10,31,6.714285714285714
